Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Soda Pop,Saja Boys & Andrew Choi & Neckwav & 대니 정 & 케빈 & samUIL Lee & KPop Demon Hunters Cast,15,https://www.youtube.com/watch?v=983bBbJx0Mk
2,2,Pretty Little Baby,카니 프랜시스,59,https://www.youtube.com/watch?v=A1MdThqGarI
3,4,Happy Boy,Lunatic Souls,315,https://www.youtube.com/watch?v=g6NQW3WT9pQ
4,6,최선이었다,현서 (HYUN SEO),20,https://www.youtube.com/watch?v=Sf-xAaVGFJ4
5,3,HALO,드림엑스,53,https://www.youtube.com/watch?v=qfjpsp5FZyg
6,5,Wagging Tails,Astra Quinn,142,https://www.youtube.com/watch?v=zQtsEUxCm3E
7,8,PASSO BEM SOLTO (Slowed),ATLXS,87,https://www.youtube.com/watch?v=NT4eF9YsYnM
8,9,Rock That Body,Black Eyed Peas,19,https://www.youtube.com/watch?v=nmnjL26OBcY
9,7,장롱소녀,미담이냥,2,https://www.youtube.com/watch?v=VzppkExKJjU
10,10,학교를 안갔어,량현량하,23,https://www.youtube.com/watch?v=-xtgeYvY33g
11,12,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,11,https://www.youtube.com/watch?v=yebNIHKAC4A
12,11,Pookie,피프티 피프티,72,https://www.youtube.com/watch?v=1ZX1vEDTfY4
13,14,怒りマーク,SUPER YANKEES,37,https://www.youtube.com/watch?v=yDKieQoToZA
14,17,Brainrot Rap,Party Tunes,29,https://www.youtube.com/watch?v=T_NKi5KHUdI
15,13,Espresso Run,Aurora Dawn,98,https://www.youtube.com/watch?v=0vD8WC6FzhU
16,15,Dame Un Grrr,Fantomel & 케이트 린,14,https://www.youtube.com/watch?v=wHlAnhkLUvw
17,19,빌려온 고양이 (Do the Dance),ILLIT,24,https://www.youtube.com/watch?v=negtrQu5mTA
18,16,Puppy Patter,Tiara,96,https://www.youtube.com/watch?v=S-pyOyQxR8I
19,21,Dirty Work,aespa,14,https://www.youtube.com/watch?v=M2WTUoy4y6E
20,20,March of the Brave,Meteor Blaze,84,https://www.youtube.com/watch?v=kAsMKf23DQQ
21,24,네모의 꿈,아이유(IU),35,https://www.youtube.com/watch?v=Loo11mn5mE0
22,n/a,butterflies (feat. 태현 & KIM CHAEWON of LE SSERAFIM),JVKE & 투모로우바이투게더 & 르세라핌,1,https://www.youtube.com/watch?v=-6kmU2b3EQY
23,25,Silent Dread,Tiara,48,https://www.youtube.com/watch?v=NfNZx7HTRao
24,34,Faint Echo,Glow Harper,37,https://www.youtube.com/watch?v=kX0wP41U0O4
25,22,123-78 (Live),BOYNEXTDOOR,41,https://www.youtube.com/watch?v=f-k61CcXPAc
25,39,Chasing Joy,Creable Music,76,https://www.youtube.com/watch?v=T4NM1fuT3lU
27,28,Soft Step,Wave Alex,75,https://www.youtube.com/watch?v=MmRBrNe9BW8
28,27,Yes Oppa (feat. 송필근),방그래(박은영),8,https://www.youtube.com/watch?v=8H7ybHZ0TEs
29,30,Shadow Whispers,Ash,49,https://www.youtube.com/watch?v=VSY5JWNAgh4
30,23,Lazy Sunday,Astra Quinn,58,https://www.youtube.com/watch?v=7nbW27gZSbQ
30,n/a,Thank U,유노윤호(U-KNOW),1,https://www.youtube.com/watch?v=ylUX9pfdBbs
32,30,cute cute so cute,달빛 블루스,68,https://www.youtube.com/watch?v=d2MrrPBErPQ
33,36,Into the Waves of Melody,Celeste Nova,42,https://www.youtube.com/watch?v=_R9FGLP1OGc
33,29,Gentle Steps in a Clear Melody,Creable Music,84,https://www.youtube.com/watch?v=4lW7lst2Smw
35,35,Joyful Stroll in the Wild,Creable Music,106,https://www.youtube.com/watch?v=rdpmYMh0v3s
36,32,Unseen Pursuer,Astra Quinn,45,https://www.youtube.com/watch?v=uJBkXEBzgEI
37,43,Epic Inspiration,AShamaluevMusic,21,https://www.youtube.com/watch?v=CvLHKUtcFg4
38,32,blue,yung kai,10,https://www.youtube.com/watch?v=IpFX2vq8HKw
39,n/a,Enigma Tune,Wave,21,https://www.youtube.com/watch?v=_BiW_Beb4x4
40,37,HOT SAUCE,BABYMONSTER,5,https://www.youtube.com/watch?v=xn8mQqz2xmM
41,50,Fall Foliage,Glow Harper,16,https://www.youtube.com/watch?v=BJJ1wWKJumU
42,39,Under Pressure,Echover Music,28,https://www.youtube.com/watch?v=9Vba3rlcWBE
43,42,Thrill Pulse,Wave Alex,10,https://www.youtube.com/watch?v=ydRkA6lMH7s
44,47,ウワサのあの子,Mulasaki Ima,8,https://www.youtube.com/watch?v=-tO9d1Nwd0M
45,38,Summer Was You,H1-KEY (하이키),4,https://www.youtube.com/watch?v=VnJSlzKW-Is
46,39,Please Summer!,인디고(INDIGO),7,https://www.youtube.com/watch?v=-Un2J8eCwCI
46,46,Charming Chimes,Creable Music,31,https://www.youtube.com/watch?v=m8xzXycywP8
48,n/a,FAMOUS,ALLDAY PROJECT,17,https://www.youtube.com/watch?v=VjvzYjU1mY0
49,49,Shake It To The Max (FLY) (Remix),Moliy & Silent Addy & Skillibeng & Shenseea,50,https://www.youtube.com/watch?v=UjBhbMMgLzc
49,47,DIA DELÍCIA,Nakama & Mc Staff & ΣP,5,https://www.youtube.com/watch?v=2cnloO84LA0
